Name,From,To,Type,lossCoeff,max_flow,min_flow,ReturnFlowProportion,cost,Q_var,networkCosts_var,Description
D676_D616,D676,D616,DEF_link,1,10000000,0,,,NULL,,
D616_C42,D616,C42,DEF_link,1,10000000,0,,,NULL,,
D616_C10,D616,C10,DEF_link,1,10000000,0,,,NULL,,
C10_C84,C10,C84,DEF_link,0.9,40.8,0,,,NULL,,
D662_D663,D662,D663,DEF_link,1,10000000,0.604,,,NULL,,
D662_C172,D662,C172,DEF_link,0.83,66,0,,,NULL,,
D662_C45,D662,C45,DEF_link,0.83,107.1,0,,,NULL,,
D663_D664,D663,D664,DEF_link,1,10000000,0,,,NULL,,
D664_D683,D664,D683,DEF_link,1,10000000,0,,,NULL,,
D664_C172,D664,C172,DEF_link,0.83,2.5,0,,,NULL,,
D664_C45,D664,C45,DEF_link,0.83,2,0,,,NULL,,
C44_C88,C44,C88,DEF_link,1,10000000,0,,,NULL,,
C88_C78,C88,C78,DEF_link,1,10000000,0,,,NULL,,
D612_D676,D612,D676,DEF_link,1,10000000,0,,,NULL,,
D689_C10,D689,C10,DEF_link,1,10000000,0,,,NULL,,
D689_D612,D689,D612,DEF_link,1,10000000,0,,,NULL,,
D689_C172,D689,C172,DEF_link,0.83,3,0,,,NULL,,
D688_D689,D688,D689,DEF_link,1,10000000,0,,,NULL,,
D687_D688,D687,D688,DEF_link,1,10000000,0,,,NULL,,
D683_D687,D683,D687,DEF_link,1,10000000,0,,,NULL,,
D699_C10,D699,C10,DEF_link,1,10000000,0,,,NULL,,
D699_D683,D699,D683,DEF_link,1,10000000,0,,,NULL,,
D699_C45,D699,C45,DEF_link,0.83,4.5,0,,,NULL,,
C172_CVPM11,C172,CVPM11,DEF_link,1,10000000,0,,,NULL,,
C172_D689,C172,D689,DEF_link,1,10000000,0,,,NULL,,
C172_GW11,C172,GW11,cost_link,1,10000000,0,,5000,NULL,NULL,
D698_D699,D698,D699,DEF_link,1,10000000,0,,,NULL,,
D697_D698,D697,D698,DEF_link,1,10000000,0,,,NULL,,
C45_CVPM12,C45,CVPM12,DEF_link,1,10000000,0,,,NULL,,
C45_D699,C45,D699,DEF_link,1,10000000,0,,,NULL,,
C45_GW12,C45,GW12,cost_link,1,10000000,0,,5000,NULL,NULL,
C84_CVPM10,C84,CVPM10,DEF_link,1,10000000,0,,,NULL,,
C84_D731,C84,D731,DEF_link,1,10000000,0,,,NULL,,
C84_GW10,C84,GW10,cost_link,1,10000000,0,,5000,NULL,NULL,
C30_C84,C30,C84,DEF_link,0.9,142.5,0,,,NULL,,
D722_C30,D722,C30,DEF_link,1,10000000,0,,,NULL,,
D722_D723,D722,D723,DEF_link,1,10000000,0,,,NULL,,
D701_C30,D701,C30,DEF_link,1,10000000,0,,,NULL,,
D701_D703,D701,D703,DEF_link,1,10000000,0,,,NULL,,
D801_D803,D801,D803,DEF_link,1,10000000,0,,,NULL,,
D801_D891,D801,D891,DEF_link,1,10000000,0,,,NULL,,
D803_C84,D803,C84,DEF_link,0.9,1.2,0,,,NULL,,
D803_D804,D803,D804,DEF_link,1,10000000,0,,,NULL,,
D804_D814,D804,D814,DEF_link,1,10000000,0,,,NULL,,
D814_SR12,D814,SR12,DEF_link,1,10000000,0,,,NULL,,
D814_D816,D814,D816,DEF_link,1,10000000,0,,,NULL,,
D816_D818,D816,D818,DEF_link,1,10000000,0,,,NULL,,
D816_D712,D816,D712,DEF_link,1,10000000,0,,,NULL,,
D818_D820,D818,D820,DEF_link,1,10000000,0,,,NULL,,
D820_D742,D820,D742,DEF_link,1,10000000,0,,,NULL,,
D742_C85,D742,C85,DEF_link,1,10000000,0,,,NULL,,
D742_D743,D742,D743,DEF_link,1,10000000,0,,,NULL,,
C85_C84,C85,C84,DEF_link,0.9,27.5,0,,,NULL,,
D743_D744,D743,D744,DEF_link,1,10000000,0,,,NULL,,
D744_C85,D744,C85,DEF_link,1,10000000,0,,,NULL,,
D744_C92,D744,C92,DEF_link,1,10000000,0,,,NULL,,
D723_D724,D723,D724,DEF_link,1,10000000,0,,,NULL,,
D891_SR15,D891,SR15,DEF_link,1,10000000,0,,,NULL,,
D891_D892,D891,D892,DEF_link,1,10000000,0,,,NULL,,
D892_D896,D892,D896,DEF_link,1,10000000,0,,,NULL,,
D896_C316,D896,C316,DEF_link,1,10000000,0,,,NULL,,
D896_OakFlat,D896,OakFlat,cost_link,1,75.15,0,,349000,NULL,NULL,
C316_GWSC,C316,GWSC,DEF_link,1,20,0,,,NULL,,
D714_C316,D714,C316,DEF_link,1,10000000,0,,,NULL,,
D714_OakFlat,D714,OakFlat,cost_link,1,75.15,0,,349000,NULL,NULL,
C315_C316,C315,C316,DEF_link,1,10000000,0,,,NULL,,
C315_OakFlat,C315,OakFlat,cost_link,1,75.15,0,,115000,NULL,NULL,
C78_C79,C78,C79,DEF_link,1,10000000,0,,,NULL,,
C79_SRASF,C79,SRASF,DEF_link,1,10000000,0,,,NULL,,
dummy1_C316,dummy1,C316,cost_link,1,6,0,,33000,NULL,NULL,
dummy1_OakFlat,dummy1,OakFlat,cost_link,1,1.33,0,,350000,NULL,NULL,
C92_D745,C92,D745,DEF_link,1,10000000,0,,,NULL,,
C92_C91,C92,C91,DEF_link,0.99,232.8,0,,,NULL,,
D745_D747,D745,D747,DEF_link,1,10000000,0,,,NULL,,
D747_D749,D747,D749,DEF_link,1,10000000,0,,,NULL,,
D749_D750,D749,D750,DEF_link,1,10000000,0,,,NULL,,
D750_D751,D750,D751,DEF_link,1,10000000,0,,,NULL,,
D750_CVPM14UR,D750,CVPM14UR,DEF_link,1,3.42,0,,,NULL,,
D724_D608,D724,D608,DEF_link,1,10000000,0,,,NULL,,
