,,NYAA,DYAA,DYCP,MDO
MET1152_ph2b,4,2.763,2.763,3.889,2.763
MET1149_ph2b,4,1.69,1.69,2.379,1.69
MET1150_ph2b,4,2.758,2.758,3.882,2.758
MET1151_ph2b,4,2.751,2.751,3.872,2.751
MET1153_ph2b,4,2.757,2.757,3.881,2.757
MET1230_ph2b,4,2.518,2.518,3.216,2.518
MET1231_ph2b,4,2.509,2.509,3.205,2.509
MET1232_ph2b,4,1.586,1.586,2.027,1.586
MET1233_ph2b,4,2.5,2.5,3.194,2.5
MET1234_ph2b,4,2.491,2.491,3.183,2.491
MET1235_ph2b,4,2.5,2.5,3.194,2.5
MET_3000ph2b,4,1.076,1.076,1.514,1.076
MET_3001ph2b,4,0.927,0.927,1.184,0.927
WEF434_ph2b,4,0.006,0.006,0.006,0.006
WEF1338_ph2b,4,0.002,0.002,0.002,0.002
WEF440_ph2b,4,0.002,0.002,0.002,0.002
WEF1339_ph2b,4,0.002,0.002,0.002,0.002
WEF1340_ph2b,4,0.002,0.002,0.002,0.002
WEF1342_ph2b,4,0.004,0.004,0.004,0.004
WEF1343_ph2b,4,0.004,0.004,0.004,0.004
WEF1344_ph2b,4,0.002,0.002,0.002,0.002
WEF1345_ph2b,4,0.004,0.004,0.004,0.004
WEF443_ph2b,4,0.012,0.012,0.012,0.012
WEF1346_ph2b,4,0.003,0.003,0.003,0.003
WEF449_ph2b,4,0.005,0.005,0.005,0.005
WEF1347_ph2b,4,0.002,0.002,0.002,0.002
WEF1348_ph2b,4,0.003,0.003,0.003,0.003
WEF1350_ph2b,4,0.008,0.008,0.008,0.008
WEF1351_ph2b,4,0.007,0.007,0.007,0.007
WEF1352_ph2b,4,0.003,0.003,0.003,0.003
WEF1353_ph2b,4,0.007,0.007,0.007,0.007
WEF452_ph2b,4,0.011,0.011,0.011,0.011
WEF1354_ph2b,4,0.002,0.002,0.002,0.002
WEF457_ph2b,4,0.004,0.004,0.004,0.004
WEF1355_ph2b,4,0.002,0.002,0.002,0.002
WEF1356_ph2b,4,0.003,0.003,0.003,0.003
WEF1358_ph2b,4,0.007,0.007,0.007,0.007
WEF1359_ph2b,4,0.005,0.005,0.005,0.005
WEF1360_ph2b,4,0.002,0.002,0.002,0.002
WEF1361_ph2b,4,0.006,0.006,0.006,0.006
